,s1,s2,a,r,s_1,s_2
1167,-0.2716830372810364,-0.027816474437713623,2.0,0.009935903891949305,-0.30021411180496216,-0.02853105589747429
1168,-0.30021411180496216,-0.02853105589747429,2.0,0.0035342428449855667,-0.3292979300022125,-0.029083821922540665
1169,-0.3292979300022125,-0.029083821922540665,2.0,0.0007014921897951078,-0.358757883310318,-0.029459945857524872
1170,-0.358757883310318,-0.029459945857524872,2.0,1.5591448649404774e-05,-0.38840433955192566,-0.02964647486805916
1171,-0.38840433955192566,-0.02964647486805916,2.0,-0.1,-0.41803720593452454,-0.02963286265730858
1172,-0.41803720593452454,-0.02963286265730858,2.0,-0.1,-0.44744861125946045,-0.029411407187581062
1173,-0.44744861125946045,-0.029411407187581062,2.0,-0.1,-0.4764261841773987,-0.02897757850587368
1174,-0.4764261841773987,-0.02897757850587368,2.0,-0.1,-0.5047563910484314,-0.02833019196987152
1175,-0.5047563910484314,-0.02833019196987152,2.0,-0.1,-0.5322278141975403,-0.027471434324979782
1176,-0.5322278141975403,-0.027471434324979782,2.0,-0.1,-0.5586345195770264,-0.026406724005937576
1177,-0.5586345195770264,-0.026406724005937576,0.0,-0.1,-0.5857790112495422,-0.02714443951845169
1178,-0.5857790112495422,-0.02714443951845169,2.0,-0.1,-0.6114597916603088,-0.0256807878613472
1179,-0.6114597916603088,-0.0256807878613472,2.0,-0.1,-0.6354892253875732,-0.024029433727264404
1180,-0.6354892253875732,-0.024029433727264404,2.0,-0.1,-0.6576951146125793,-0.022205926477909088
1181,-0.6576951146125793,-0.022205926477909088,2.0,-0.1,-0.677922248840332,-0.020227111876010895
1182,-0.677922248840332,-0.020227111876010895,1.0,-0.1,-0.6970328688621521,-0.01911059394478798
1183,-0.6970328688621521,-0.01911059394478798,2.0,-0.1,-0.7139005661010742,-0.016867736354470253
1184,-0.7139005661010742,-0.016867736354470253,2.0,-0.1,-0.7284173369407654,-0.01451675221323967
1185,-0.7284173369407654,-0.01451675221323967,2.0,-0.1,-0.7404928207397461,-0.01207546703517437
1186,-0.7404928207397461,-0.01207546703517437,2.0,-0.1,-0.7500539422035217,-0.00956114474684
1187,-0.7500539422035217,-0.00956114474684,2.0,-0.1,-0.7570443153381348,-0.006990395486354828
1188,-0.7570443153381348,-0.006990395486354828,2.0,-0.1,-0.7614235281944275,-0.004379207734018564
1189,-0.7614235281944275,-0.004379207734018564,2.0,-0.1,-0.763166606426239,-0.0017430461011826992
1190,-0.763166606426239,-0.0017430461011826992,2.0,-0.1,-0.7622635960578918,0.0009029772481881082
1191,-0.7622635960578918,0.0009029772481881082,2.0,-0.1,-0.7587197422981262,0.0035438972990959883
1192,-0.7587197422981262,0.0035438972990959883,2.0,-0.1,-0.7525550127029419,0.006164672784507275
